llm_quality,llm_seniority,llm_engagement,llm_decision_maker,llm_industry,llm_geography,llm_business_type,llm_company_fit,industry,companyindustry,companysize,companytype,languages,location,companylocation,companyfoundedon,summary,skills,jobtitle,engaged
90,Senior,0.75,0.8,Software Development,other,leaders,2,Law Practice,Software Development,1001-5000,Public Company,"Anglais, Espagnol, Français, Italien",France,"New York, US",2010.0,,"Intellectual Property, International Business Law, Contract Negotiation",Associate General Counsel - EMEA & APJ,1
88,Senior,0.85,0.85,Law Practice,international_hub,leaders,0,Law Practice,Law Practice,1001-5000,Partnership,"Anglais, Français","Paris, Île-de-France, France","Washington, US",1899.0,"As a counsel, Charlotte focuses her practice on commercial contracts and regulatory matters relating to information technologies, data and cybersecurity, mobility/transportation and space/telecommunications. Charlotte works on innovative subjects such as artificial intelligence, connected objects, autonomous vehicles and more generally digital transition. She works closely with both French and international clients by providing them with regulatory advice or by assisting them in the negotiation and setting up of contractual schemes in various industry sectors, such as IT, space/telecommunications, automotive/transportation, energy and financial institutions. 
Charlotte teaches telecommunications and space law at the Paris V Descartes University  and data protection law at Paris II Panthéon-Assas University.","New tech, Commercial Contracts, Data Privacy",Regulatory/Commercial Counsel @ HoganLovells,1
55,Entry,0.5,0.25,Media Production,other,others,2,Management Consulting,Media Production,,Privately Held,,"Lioux, Provence-Alpes-Côte d'Azur, France",,,"Significant expertise in defining, building and leading out-of-the-box, innovative, inspiring & strategy schemes for positive impact.
 
Experience guru : settling back human values and empowerment at the source of innovation and performance. Previous co-organized events : WOMEN'S FORUM, VIVA TECHNOLOGY, CHANGE NOW, SUSTAINABLE BRANDS PARIS, WORLD LIVING SOILS FORUM, SO GOOD MAIF FESTIVAL... 

Author (in french)
https://centmillemilliards.com","Business Strategy, Digital Media, Marketing Communications",Founder & Captain,1
80,Entry,0.55,0.3,Software Development,other,workers,2,Information Technology & Services,Software Development,11-50,Privately Held,"Deutsch, Englisch, Französisch, Katalanisch, Spanisch",France,"München, DE",2019.0,,"Software as a Service (SaaS), AI and Data, Data Product Management",Product & Value Lead,0
70,Mid,0.7,0.5,Government Administration,international_hub,leaders,1,Information Technology & Services,Government Administration,201-500,Government Agency,"English, French, Italian, Spanish","Greater Paris Metropolitan Region, France","Paris, FR",2019.0,"Luis is an early-stage specialist with extensive experience in software development, document management, web applications, and artificial intelligence in the French startup scene.  He co-founded Rueil Digital, a local non-profit initiative to to spearhead city-scale digital change in STEAM education and economic growth through public engagement. He also enjoys leading digital innovation initiatives, lean entrepreneurship, and team and network development, as well as serving as a technical and strategic advisor. He also enjoys studying topics in cognitive science, type theory, and the humanities, playing music with his band and spending time with friends and family.","Software Development, Cloud Computing, Start-ups","Référent technique ALLiaNCE, incubateur IA de l'Etat",1
80,Senior,0.8,0.7,Software Development,international_hub,leaders,2,Computer Software,Software Development,1001-5000,Public Company,"Anglais, Français","Greater Paris Metropolitan Region, France","Denver, US",,,"Corporate Finance, Private Equity, Corporate Law","BD, Strategic Accounts & Legal affairs",1
75,Mid,0.75,0.8,Venture Capital and Private Equity,international_hub,leaders,1,Management Consulting,Venture Capital and Private Equity Principals,11-50,Sole Proprietorship,,"Paris, Île-de-France, France","Paris, FR",2012.0,,"Développement commercial, Stratégie d’entreprise, Gestion de projet",Associate VC,0
30,Entry,0.5,0.3,Non-Profit Organization Management,other,others,0,Management Consulting,,,,"English, Italian, Spanish (notions), Turkish (notions)","Meudon, Île-de-France, France",,,"Foresight is not only about exploring new grounds, empowering people through concertation, collaboration and visioning, and concretely shaping, even building the future... In a VUCA time, it is about making sense of the fireworks of trends, emergences, breakthroughs and ruptures that are blurring our understanding of the Big Picture. 
Official Bio:
Fabienne GOUX-BAUDIMENT earned a Masters in Political Science (France) and a PhD in Human and Social Foresight (Social Sciences, Roma, Italy). Futurist, she has been the founding head of the consulting firm proGective in France (Paris) since 1994; centre of application, research and training in futures studies, proGective meets its clients' needs (either central or local governments, businesses, NGOs) by working out innovative and foresight-oriented solutions. 
She has been Associate Professor of Foresight and Innovation, and coordinator of the curriculum ""Knowledge Engineer"" at the University of Angers (1995-2018). She served as a member of the Foresight section of the Regional Economic, Social and Environmental Council of Ile de France (2014-2018).
Former president of the World Futures Studies Federation (2005-2009), she is a founding member of the French Society for Foresight which she chaired from 2013 to 2016.
Author and referee of several international Journals, Fabienne is also a member of the Association of Professional Futurists and a Fellow of the World Futures Studies Federation. 
-----------
Books always on my shelf:
- MacFarlane, Alan. Letters To Lily: On how the world works. New Ed. London: Profile Books, 2010.
- Baldwin, David A. Economic Statecraft. Princeton, NJ: Princeton University Press, 1985.
- Machiavelli, Niccolo. Il Principe Di Niccolò Machiavelli. Franklin Classics, 2018.","Serious gaming, Formation et développement, Project management",Membre du Comité de fondation,1
65,Mid,0.65,0.6,Public Relations and Communications,international_hub,experts,1,Graphic Design,Public Relations and Communications Services,11-50,Privately Held,Anglais,"Greater Paris Metropolitan Region, France","Tours, FR",2003.0,"Je suis indépendant dans l'industrie créative et graphique depuis 2007
et enseignant spécialisé depuis la rentrée 2014

Mes sujets favoris sont le graphisme, la typographie, la pub, la créativité et plus récemment, l'IA

Je publie une newsletter : L'écho graphique 

Mon mantra : I don't design to impress, I design to express.","Enseignement secondaire, Publicité, Branding",Enseignant spécialisé,0
35,Entry,0.55,0.3,Technology - AI,international_hub,others,0,Marketing & Advertising,,,,,"Paris, Île-de-France, France",,,,"Publer, Smartly Advertising Platform, Twitter Ads",CMO,0
20,Entry,0.3,0.5,Unknown,international_hub,others,0,Marketing & Advertising,,,,,"Paris, Île-de-France, France",,,"Fort de mes expériences et d’études en Marketing-Communication, je souhaite mettre à profit mes compétences en acquisition, rédaction, création de contenu ...

Je souhaite relever de nouveaux défis dans un projet enrichissant en Marketing-Communication, domaine qui m'anime depuis plus de 10 ans, depuis un stage  de découverte révélateur en 2013.

Je vous propose mes services en Freelance ou CDD/CDI

Envie d’en savoir plus sur moi ou sur un autre sujet ?

Je serais très heureux de discuter avec vous par message Linkedin ou par mail :

✉️ teissier.art@gmail.com

À très vite 



Arthur.T","Indicateurs clés de performance, Autonomie, Polyvalence",Consultant Marketing-Communication,0
80,Entry,0.7,0.3,Biotechnology Research,international_hub,experts,2,Biotechnology,Biotechnology Research,2-10,Privately Held,"Anglais, Français","Paris, Île-de-France, France","Paris, FR",2024.0,,"Python, R, Matlab",Principal Research Scientist,0
70,Mid,0.5,0.7,Software Development,other,workers,1,Consumer Goods,Software Development,51-200,Privately Held,"Allemand, Anglais, Français",France,"Miami, US",2019.0,"I am a Product Manager with a mathematical background. 
I am data driven, detail-oriented and stimulated by user centric products.","Microsoft Office, SAS, R",Senior Product Manager,1
30,Entry,0.4,0.4,Unknown,international_hub,others,0,Marketing & Advertising,,,,"Anglais, Français, Portugais","Paris, Île-de-France, France",,,"J’active les leviers digitaux pour faire grandir les marques et générer des résultats.
Je conçois et pilote des stratégies de communication orientées notoriété et conversion à la fois en agence & annonceur.

🎯 Campagnes 360° online/offline | 📱 Social media & influence | 💡 SEO/SEA/SEM | 🛒 E-commerce & sites marque | ✉️ CRM & newsletters

🧭 Ma signature : vision stratégique + exécution opérationnelle + accompagnement des équipes avec impact.

📍Basé à Paris | Ouvert aux opportunités CDI | Secteurs : notamment Food, Finance, Santé, Culture, Impact.","Growth hacking, Analyse des données, Zapier",Critique de cinéma,0
75,Entry,0.65,0.3,Staffing and Recruiting,international_hub,salespeople,0,Computer Software,Staffing and Recruiting,2-10,Privately Held,,"Paris, Île-de-France, France","Paris, FR",2025.0,"I am a Product Owner at Open-Source-Economy, a platform that introduces a new economic model for open-source projects. We enable open-source initiatives to attract investors, ensuring sustainable growth and competitiveness. I oversee various aspects of our product, from application and communication to interviews and feedback, taking an integral part in the start-up life.

My career is anchored in decentralization, a principle I am passionate about. I have a Master's degree in Management and Computer Science from Bordeaux University, where I also obtained an engineering diploma in Computer Science. I spent a semester at the University of Florence, studying innovation management and computer science engineering. I have experience in managing teams and developing blockchain solutions for different products and industries, such as bottlecap identification and business development. My goal is to lead projects toward transformative success in a positive and autonomous environment.","Négociation, Préparation d’analyses de rentabilité, Chargés de compte",10but CEO,0
65,Mid,0.55,0.5,Government Administration,regional_hub,leaders,1,Research,Government Administration,,Government Agency,"English, French, Spanish","Marseille, Provence-Alpes-Côte d'Azur, France","Marseille, FR",,,"Collective Intelligence, Design Thinking, Report Writing",Project Manager,1
70,Senior,0.5,0.8,Telecommunications,international_hub,leaders,2,Information Technology & Services,Telecommunications,,Public Company,"English, Français, German","Greater Paris Metropolitan Region, France","Issy-les-Moulineaux, FR",,"Results and actions driven, insight driven and analytical thinker, my track record includes multiple product management and strategy positions.  I have 12+ years of experience in product management, gained through working with North American high-tech software companies in France and as an expatriate in the United States and Germany. Over the years, I progressed from Product Manager to Head of Product.

My experience spans:
● Company types: Large corporations (AT&T, Lucent Technologies, Nortel, Alcatel, Orange) as well as startups (Cloudwatt, Wallix) and even a unicorn (Shift).
● Industries: Cloud computing, SaaS, open-source applications, mobile telecom, telecom network APIs, cybersecurity, and AI/ML.
● Development methodologies: Both waterfall models with long release cycles and agile frameworks, including Scrum and Kanban.

I have expertise in all three pillars of product management:
● Strategy: Defining strategic vision, analyzing addressable markets and competition, drafting Strategic Requirement Documents, managing budget and costs, applying Blue Ocean strategy, building business cases, structuring governance, and designing strategic roadmaps.
● Execution: Prioritizing backlogs, defining product roadmaps, writing specifications (epics, stories), designing interfaces, and delivering demos.
● Go-to-Market & Growth: Defining sales and channel strategies, crafting product positioning and messaging, creating marketing assets (brochures, product descriptions), drafting contracts (online, OEM, business contribution), setting pricing strategies, evangelizing products, and training sales teams.

In 2020, I founded my own consulting firm, providing product management services, delivering conferences—including one with an audience of 388 people online—and offering training and coaching for startup founders, executives, and product managers seeking an external perspective.

Today, I am looking to rejoin a corporate environment in a leadership role as a Head of Product or Product Director where I can drive product strategy and execution at scale.","Gestion de la relation avec les parties prenantes, Vision produit, Propositions de valeur",Platform Product Lead - Network API,1
60,Mid,0.6,0.75,IT Services and IT Consulting,international_hub,leaders,2,Management Consulting,IT Services and IT Consulting,,Privately Held,"English, Farsi, French, German","Greater Paris Metropolitan Region, France","Grenoble, FR",1971.0,,"Marketing Strategy, Online Marketing, Analytical Skills",Director of strategy and development,1
30,Entry,0.4,0.3,Unknown,international_hub,others,0,Management Consulting,,,,,"Paris, Île-de-France, France",,,,"Travail d’équipe, Microsoft Office, Gestion de projet",,0
30,Entry,0.4,0.3,Unknown,international_hub,others,0,Fine Art,,,,"Anglais, Espagnol, Français","Paris, Île-de-France, France",,,"Art enthusiast with a professional background in art market and knowledge in contemporary art. My work experience has allowed me to acquire skills in art sales, exhibition production, artist liaison, gallery management, curatorial assistance, and event planning.",Art contemporain,,0
70,Mid,0.6,0.6,Technology - Startups,international_hub,others,1,Computer Software,,,,"English, French, Spanish","Paris, Île-de-France, France",,,"French tech entrepreneur.
Co-founder @ Visibrain.","Computer Science, Applied Mathematics, Agile Methodologies",Member,1
25,Entry,0.3,0.3,Unknown,other,others,0,,,,,,France,,,,,,1
80,Entry,0.7,0.5,Sports,regional_hub,salespeople,0,Research,Spectator Sports,2-10,Privately Held,English,"Marseille, Provence-Alpes-Côte d'Azur, France","Gardanne, FR",2017.0,"With a scientific background and strong expertise in biology, pharmacology, and life science analysis, I have developed a keen interest in technical development, particularly in data analysis and visualization, web platform development, and IoT. My journey has allowed me to merge scientific expertise with engineering skills to create innovative and high-performing solutions. Whether in academic research or technological project development, I thrive on solving complex challenges and transforming ideas into concrete applications. My goal is to contribute to initiatives at the intersection of science and technology, where innovation can truly make a difference.","Web Applications, Data Processing, Data Visualization",Head of Engineering,1
30,Entry,0.5,0.3,Unknown,international_hub,others,0,Graphic Design,,,,,"Paris, Île-de-France, France",,,"Freelance Directeur artistique Motion Designer

baryolepto.com","Motion Design, Insolence, Graphisme",Directeur artistique Motion Designer,1
75,Mid,0.65,0.5,Arts and Culture,other,experts,2,Marketing & Advertising,Artists and Writers,51-200,Privately Held,"Anglais, Arabe, Espagnol, Français, Turc",France,"Paris, FR",1993.0,Digital Strategy - Luxury - Web3 - Innovation - Brand Experience - IA,"Leadership, Informations commerciales, Facebook",Global Digital Project Manager,1
40,Entry,0.5,0.4,Freelance,international_hub,workers,0,Information Services,,,,,"Paris, Île-de-France, France",,,,"Information Technology, Réseaux sociaux, Relations publiques",Advisor,1
85,Entry,0.65,0.3,Research Services,international_hub,experts,1,Research,Research Services,2-10,Privately Held,"Anglais, Espagnol, Français","Paris, Île-de-France, France","Paris, FR",2006.0,,"Anglais, Microsoft Office, Microsoft Word",Chargé d'études économiques,0
90,Mid,0.8,0.6,Education,international_hub,leaders,2,Internet,Education Administration Programs,1001-5000,Educational Institution,,"Greater Paris Metropolitan Region, France","Paris, FR",1871.0,,"Mobile Applications, HTML 5, PHP",Chargé d'enseignement,0
80,Mid,0.7,0.7,Retail,international_hub,leaders,0,Apparel & Fashion,Retail Apparel and Fashion,5001-10000,Privately Held,Anglais,"Paris, Île-de-France, France","Paris, FR",1933.0,"Data & PLM Director at Lacoste, driving data transformation through the implementation of a modern Data Stack (Snowflake, DBT) and robust governance to ensure data quality, reliability, and security. I lead a diverse team of 45 experts, fostering rapid adoption of data-driven technologies to boost business performance.
With extensive international experience at CANAL+, I led data transformation initiatives across 40 countries, combining cloud, AI, and advanced analytics to deliver innovative, impactful solutions. My leadership is defined by a clear strategic vision, disciplined project execution, and a strong ability to build cohesive teams centered on value-driven, agile data cultures.","Gestion budgétaire, Adaptabilité, Analytique",Data & PLM Director,0
50,Mid,0.55,0.5,IT Services,other,others,1,Information Technology & Services,IT Services and IT Consulting,,Public Company,,France,"95877 Bezons, FR",,,,Legal counsel France,0
35,Entry,0.4,0.2,Independent,international_hub,others,0,Music,,,,"Deutsch, Englisch, Französisch","Paris, Île-de-France, France",,,"Lukas Truniger is a new media and sound artist. His work is driven by the intangible, the invisible, the inaudible and the complex in nature as well as in society. He creates singular experiences challenging the modalities of perception, pinpointing unseen connections of artificial, natural and social systems to further blur their supposed division. He takes advantage of the mimetic nature of technology to create speculative representations of transient aspects of reality. These explorations can take the form of multimedia installations, artistic infrastructures, performances, and the creation of new musical instruments.

Born in Zürich (Switzerland), he lives and works in Paris. He obtained a music degree from the ""Institute for music and media (IMM)"" in Düsseldorf (D) and a post gradual diploma in fine arts with distinction from ""Le Fresnoy – studio national des arts contemporains"" in Tourcoing (F).

https://lukastruniger.net/",,"Visual Artist, Digital Artist, Sound Artist, Electronic Musician, Composer and Creative Technologist",1
75,Mid,0.75,0.8,Venture Capital,international_hub,leaders,1,Computer Software,Venture Capital and Private Equity Principals,11-50,Privately Held,"Anglais, Français","Paris, Île-de-France, France","Paris, FR",,"Over the past 6 years, I've built and shipped AI products that generated $30M+ in new recurring revenue across companies from startups to NASDAQ-traded enterprises.

I've been in your shoes: 

Sitting on valuable data but struggling to turn it into defensible products. 
Watching competitors ship AI features while your team debates strategy decks. 
Managing engineering teams excited about the latest models but unclear on business impact.


At Clustree and Cornerstone, I drove $30M+ ARR in new AI product initiatives while managing cross-functional teams of AI/ML engineers, data scientists, and product managers, serving millions of active users daily.

Across 13+ years in tech, I shipped products as both software engineer and product manager across nearly every type of B2B company:

Pre-market-fit startup? ✅
Fast-scaling SaaS scaleup? ✅
AI startup acquihired? ✅
NASDAQ-traded Silicon Valley company? ✅

Along the way, I launched my own company, mentored dozens of engineers and PMs, and advised several founders navigating growth and transformation.

Now, in 2025, I help scaling tech companies turn their AI confusion into shipped products that actually move the business.

My clients don't want another ""AI initiative."" They want someone who's navigated the gap between AI potential and product reality, someone who can turn their company's unique advantages into something shippable, defensible, and useful.

Here's what I bring:
* Strategic clarity on what to build (and what to skip)
* Org enablement to align product, data, and AI teams
* Hands-on product leadership from someone who's actually shipped

If you're leading a sharp team but still:
* Feel like your AI roadmap is a deck, not a plan
* Sit on valuable data but don't know how to unlock it
* Watch competitors ship while you're stuck in thinking mode

You're not behind. You're just missing the link between tech potential and product reality.

Ready to move from AI experiments to AI revenue?
DM on LinkedIn or Email: jeremy@rollrollrepeat.com 

I also run a weekly newsletter for practical AI product insights: https://rollrollai.com","AI Product Strategy, AI Governance, Cross-functional Coordination",Mentor,0
25,Entry,0.2,0.1,Unknown,other,others,0,Government Administration,,,,"Anglais, Français, Swahili",France,,,,,,0
30,Entry,0.4,0.3,Unknown,international_hub,others,0,Internet,,,,,"Paris, Île-de-France, France",,,"Hi! I'm Akshata — a Social Media & Marketing Specialist passionate about helping brands grow their digital presence with strategy, creativity, and consistency.

I help lifestyle and luxury brands build engaging online identities through content that connects, email campaigns that convert, and website experiences that flow. From managing social media calendars and creating high-performing newsletters to ideating layout improvements for e-commerce platforms, I bring a hands-on approach that balances creative thinking with data-backed decisions.

My work spans across: 
✔️ Social media management & content strategy
✔️ Email marketing & newsletters
✔️ Website layout ideation & brand storytelling
✔️ E-commerce support
✔️ Influencer collaborations & community engagement

I thrive in fast-paced, collaborative environments and love working with teams that value smart content, digital growth, and authentic brand voice.

I'm currently open to new job opportunities where I can bring my expertise in digital marketing, luxury branding, and social media to help brands scale with impact.

Let’s connect if you’re hiring, collaborating, or just love chatting about digital strategy!","Google Ads, Digital Communication Strategy, Business-to-Business (B2B)",,1
70,Mid,0.8,0.7,Computer Games,international_hub,workers,2,Computer Games,Computer Games,,Public Company,"Anglais, Espagnol, Français","Paris, Île-de-France, France","Saint-Mandé, FR",1986.0,"I'm a legal director specialized in fast-evolving technologies, artificial intelligence, and legal innovation. I'm not a gatekeeper but a pragmatic partner to business, product, and tech teams.

With 15+ years of experience across the media and video game industries (TF1, Ubisoft), I’ve built and led cross-functional legal teams supporting global operations in IT, R&D, digital, and AI governance. My approach is structured, solution-driven and collaborative.","Audiovisual law, Domain names & trademarks, IT law","Legal Director, Artificial Intelligence",0
75,Mid,0.65,0.65,Law Practice,international_hub,leaders,1,Law Practice,Law Practice,51-200,Partnership,"Anglais, Français","Paris, Île-de-France, France","Paris, FR",,"Avocat passionné par les nouvelles technologies.

Je conseille les porteurs de projet innovants et en forte croissance notamment dans les domaines suivants: Droit des sociétés / Private Equity / Droit social / Propriété intellectuelle.

Contact : 
BOLD 
AVOCATS
Le Garage Central
19, rue des Petites Ecuries - 75010 Paris
TÉL : +33 (0)1 53 42 63 00
FAX : +33 (0)1 53 42 13 63
Email : tp@wearebold.co","Private International Law, Corporate Law, Litigation",Founder,0
75,Mid,0.6,0.65,Law Practice,international_hub,leaders,1,Law Practice,Law Practice,51-200,Privately Held,Anglais,"Paris, Île-de-France, France","Paris, FR",2023.0,,"Contentieux du travail, Droit des préjudices personnels, Relation client",Avocat droit social,0
30,Entry,0.3,0.3,Unknown,other,others,0,Non-profit Organization Management,,,,"Anglais, Français","Orléans, Centre-Val de Loire, France",,,"(Mostly) researcher with Oxamyne, a cooperative co-powered by la MYNE (a citizen lab based in Villeurbanne) and Oxalis (a 20 year old national social business cooperative). For an overview of my background and practices: https://nicolasloubet.lescommuns.org/qui-suis-je

What I am currently doing: analysis of resilience ecosystems, development of contributory communities, design of collective public action devices, facilitation of complex projects.","Community Management, Social Media, Communication",Administrateur,0
70,Mid,0.75,0.75,Software Development,international_hub,workers,2,Financial Services,Software Development,,Public Company,"English, French, Russian","Greater Paris Metropolitan Region, France","Santa Clara, US",,"20 yrs of work experience within deal management, consulting and complex project management applied to technology. 
Expert on Software and Saas revenue recognition as well as deal strategy and execution in the Commercial as well as Public Sector space. 

Flexible, strong team player and good communicator. At ease with international projects both in large or quickly changing/expanding corporate environments.


-Specialise in CRM, license and professional service contracts review to determine revenue recognition based on Software Revenue Recognition policy and US GAAP.  
-Act as a the main liaison between deal desk and the sales leadership, in order to guide effective value proposals matching customer needs with company strategies.
-Be the guide and trusted advisor in deal reviews with customers and sales teams.
-Partner with the sales, pricing and product teams to drive the process for shaping policy-compliant strategic deals, including enterprise level agreements for scale.
-Drive best practices and process improvement for scale, including metrics across multiple regions within the quote to order process to shorten deal close cycles while minimizing risk and maximizing deal size.
-Provide pricing guidance and discount approval support.
-Provide effective training to sales on deal structures and strategies.","Foreign Languages ( Professional Fluency in French) , Deals, Commercial Management","Senior Manager, Strategic Deal Desk for Middle East and Southern Europe",0
