llm_quality,llm_seniority,llm_engagement,llm_decision_maker,llm_industry,llm_geography,llm_business_type,llm_company_fit,industry,companyindustry,companysize,companytype,languages,location,companylocation,companyfoundedon,summary,skills,jobtitle,engaged
30,Senior,0.65,0.25,Professional Services,regional_hub,others,0.0,Professional Services,Professional Services,26,,,"Cambridge, Middlesex County, Massachusetts, United States",,,,,Senior Scientist,1
85,Mid,0.8,0.6,"Technology, Information and Media",regional_hub,experts,2.0,"Technology, Information and Media","Technology, Information and Media",2,,"Italian, English, German, Spanish, Portuguese","Bologna, Emilia-Romagna, Italy",,,"As an R&D consultant, I work with various clients and partners to create, improve, and implement cutting-edge technologies and solutions. I have over 14 years of experience in software engineering, web development, and digital humanities, with credentials in Android Development and HTML5 Game Development from Udacity. I am passionate about open data, open source, and open access, and I have contributed to multiple projects and publications in these fields. I have also co-founded and led several startups and organizations, such as CineCit, Nerderie, FlowLy, SemBase, and Modal Nodes, that leverage data and technology to create social impact, innovation, and education. I have expertise in Angular, XML, and Leaflet.js, as well as other tools and frameworks.","unified modeling language, ant, openid, oauth, netbeans, quantumgis, business plan formulation, business analysis, chrome extensions, visual studio extensions, visual studio, web design, mongodb, prolog, sparql, docker, rdf, c#, public speaking, web applications, debian, html5, mapnik, asp.net, distributed systems, mysql, ubuntu, rest, postgis, postgresql, jquery, design patterns, django, ruby, open source, tomcat, android, html, java, uml, eclipse, xml, angular2, d3.js, typescript, openstreetmap api, leaflet.js, javascript, python, software engineering",Chief Technology Officer,1
20,Entry,0.4,0.2,Media,international_hub,others,0.0,,,undefined,,,"Barcelona, Catalonia, Spain",,,,,Editor,0
40,Entry,0.85,0.15,Professional Services,international_hub,workers,0.0,Professional Services,Professional Services,194,,,"Milan, Lombardy, Italy",,,"Ho maturato esperienza in ambito audit presso Ernst & Young e RSM, partecipando a",,Audit Assistant,1
70,Senior,0.9,0.75,Consumer Goods,international_hub,leaders,2.0,Accommodation Services,Accommodation Services,200415,,"Português, Inglês, Francês, Alemão, Espanhol, Catalão","Barcelona, Catalonia, Spain",,,"(versão em português abaixo) [EN] Hi there, visitor! As my resumé is down below, I would like you to get to know me beyond the professional realm. I am a cisgender, white woman from Goiás, Brazil; part of the LGBT community, an avid reader and a cyclist. Besides that, I am also a Data Protection Lawyer with over seven years of experience in the field. I consider myself an advocate for the ethical use of technology and design to enhance our full human potential, and I strongly believe that all knowledge and experiences have something valuable to contribute - which is why I am passionate about embracing any multidisciplinary approach. My current purpose (current because life evolves and so do we) is to make digital human rights, such as the right to privacy and data protection, more accessible through literacy and awareness. If these rights are meant for the people, then the people should be empowered to fully understand what the regulations entail, and actively demand their fair and balanced application. If my journey has sparked your interest in any way, please feel free to send me a message! I am available for a virtual coffee chat :) - [PT] Oi, visitante! Como meu currículo está aí embaixo, gostaria que você me conhecesse para além do âmbito profissional. Sou uma mulher cis, branca, goiana, LGBT, leitora e ciclista. Além dessas coisas, também sou advogada de proteção de dados com mais de sete anos de experiência na área. Me considero entusiasta do uso ético da tecnologia e do design para ampliar nosso potencial humano, e acredito muito que qualquer conhecimento e experiência tem algo a somar - isso me faz ser apaixonada por toda multidisciplinariedade. Meu propósito (atual, pois a vida muda e a gente também) é tornar os direitos humanos digitais, como o direito à privacidade e proteção de dados, mais acessíveis por meio do letramento e conscientização popular. Se o direito é para o povo, o povo deve ser capaz de compreender totalmente o que a norma diz e demandar ativamente seu cumprimento justo e equilibrado. Caso alguma parte da minha jornada tenha te interessado de alguma forma, me chama no privado! Estou à disposição para tomar um webcafezinho :)",,"Senior Counsel, Global Consumer Data Privacy",0
75,Senior,0.7,0.3,Professional Services,regional_hub,experts,2.0,Professional Services,Professional Services,386,,"English, French, Persian","Boston, Suffolk County, Massachusetts, United States",,,"Broadly trained neuroscientist and electrical engineer with expertise in whole-brain functional imaging, electrophysiology, electrochemistry, multi-photon and confocal microscopy, wireless telemetry, animal behavior, immunohistochemistry, and cell culture. My analytical skills include the analysis of large-scale brain imaging data, custom software development for automatic behavior tracking, and time-series/image/video processing, using machine learning and statistical techniques. I am seeking professional opportunities to use my broad technical and research expertise towards solving challenging real-world problems.",,Senior Staff Scientist I,1
60,Mid,0.75,0.7,Technology,other,experts,1.0,,,undefined,,,Italy,,,"As a digital sociologist specialising in applied tech ethics, I help organisations navigate the social and business impacts of AI and emerging technologies. My work results in organisations being able to do three things: 1) advance innovation, 2) minimise risk, and 3) embed agile ways of working. My research uncovers the social, cultural and business implications of innovations, and ensures that costly mistakes that could damage trust or create unintended consequences don’t happen. My approach reveals how technology actually affects different stakeholder groups, highlighting implications often related to equity, rights or privacy that technical teams usually miss. Combining the outputs of evidence-based research with practical governance strategies, I’ve developed responsible AI frameworks, how-to guides and policy for clients across the public and private sectors, and driven the responsible development and implementation of technology. I hold roles at the British Interactive Media Association, Royal Melbourne Institute of Technology and Conversation Design Institute Foundation. I’m a TEDx and keynote speaker, and regularly design and facilitate workshops on responsible innovation.",,,1
80,Senior,0.95,0.8,Professional Services,regional_hub,experts,2.0,Professional Services,Professional Services,1279,,"Inglese, Francese, Spagnolo, Italiano","Brescia, Lombardy, Italy",,,"Attorney at law focusing on digital and emerging technologies. He obtained a Master Degree in IT Law and Legal Informatics at Alma Mater Studiorum - University of Bologna (CIRSFID). He published a book on how to design a political organization fit for the 21st century. Brilliant minds invited him to cofound Ultrafab, a Internet Of Things startup powered by artificial intelligence. Cofounder of Parti Collective, a network where we practice knowledge sharing and systemic thinking for a radically just and regenerative society.",,External Consultant,1
90,Executive,0.6,0.85,Government Administration,other,leaders,1.0,Government Administration,Government Administration,639,,"Français, Anglais, Allemand, Japonais, Luxembourgeois","Al-Esch, Esch-sur-Alzette, Canton Esch-sur-Alzette, Luxembourg",,,"️⃣ Chez Heruka.AI Consulting, je travaille à transformer la manière dont les organisations adoptent des solutions d'intelligence artificielle éthiques et souveraines. Je me concentre sur le conseil stratégique, la recherche et la formation en IA, en collaborant avec des partenaires tels qu'InTech S.A. pour maximiser l'impact des technologies dans les secteurs de l'éducation et de la santé. Mon rôle inclut également un engagement actif envers l'éthique technologique et la durabilité. ️⃣ En tant que fondateur et directeur de la recherche chez RAG.LU, je contribue à développer des solutions numériques souveraines pour les entreprises et collectivités. Mon expertise réside dans la transformation numérique et la gestion de projets complexes, en intégrant des approches interdisciplinaires pour répondre aux besoins croissants des écosystèmes technologiques. Je suis passionné par l'adoption responsable de l'IA pour un avenir durable, tout en soutenant l'innovation et l'inclusivité à travers mes initiatives.",,Responsable de projet,1
65,Mid,0.5,0.65,Professional Services,international_hub,workers,1.0,Professional Services,Professional Services,1629,,,"City of London, England, United Kingdom",,,,"project management, hand drafting, unity3d, processing, keyshot, animation, rendering, softimage, sketchup, revit, autocad, residential design, sustainable design, ecological research, model making, grasshopper, rhinoceros, vray, photoshop, autocad architecture, digital fabrication, 3d studio max, indesign, concept design, design research, urban design, architectural design",Associate,0
85,Senior,0.85,0.75,"Technology, Information and Media",other,leaders,2.0,"Technology, Information and Media","Technology, Information and Media",83,,"English, German","Istanbul, Marmara Region, Turkey",,,"🚀 I love building products that people truly enjoy using — and I believe AI is the biggest enabler of seamless, delightful experiences. 👨🏻‍💻 As a product manager with experience across both startup and corporate worlds, I’ve led cross-functional teams to turn bold ideas into solutions that reached thousands of users. 🤖 Today, my focus is on leveraging Generative AI and emerging technologies to design smarter, more adaptive products. From gamification to AI-powered personalization and automation, I’ve seen how the right use of AI can transform user engagement and unlock growth. 🌐 My career has been a blend of creativity, data-driven planning, and hands-on execution — across diverse industries — always with the same goal: turning insights into products that scale. ✅ I’m passionate about pushing the boundaries of what AI can do in product management, and I continuously experiment with ways to integrate GenAI into workflows, features, and strategies. Let's connect and explore how we can innovate, disrupt, and drive impactful solutions together!",,Lead Product Manager,1
75,Senior,0.65,0.65,"Transportation, Logistics, Supply Chain and Storage",international_hub,experts,0.0,"Transportation, Logistics, Supply Chain and Storage","Transportation, Logistics, Supply Chain and Storage",973,,"Inglese, Italiano","Barcelona, Catalonia, Spain",,,"Qualified management engineer with a specialization in finance. Leveraging several years of experience in working with financial organizations, assisting numerous traditional banks, fintech companies and startups to improve their business processes through the adoption of innovative solutions, data analytics and financial analysis and comprehensive reporting using various tools including Excel, SQL, Power BI and Phyton.",,FP&A Lead,1
70,Mid,0.7,0.3,"Technology, Information and Media",other,experts,0.0,"Technology, Information and Media","Technology, Information and Media",1,,,Canada,,,"Experienced researcher, program coordinator, policy analyst with an interest in working in the international affairs, human rights and tech industries. Skilled in Nonprofit Organizations, Leadership, Research, Communication, Event Management, Public Speaking, and Fundraising. Strong community and social services professional graduated from St. Clement's School and currently attending Carleton University studying Public Affairs and Policy Management with a specialization in International Relations and Conflict and a minor in Mandarin.",,Founder & Director,1
80,Senior,0.6,0.8,Retail,international_hub,leaders,1.0,Retail,Retail,28242,,English,United Kingdom,,,IP/IT Law Anti-Counterfeiting Campaigns Business Law E-Law Dispute Resolution Corporate Law / M&amp;A And Transactions Negotiation And Drafting Complex Contracts,,Managing Counsel - Global,0
50,Mid,0.5,0.5,Business Services,other,leaders,0.0,,,undefined,,"English, Hindi, French",India,,,,"c++, dos, sas base, microsoft powerpoint, microsoft excel, microsoft office",,1
80,Mid,0.75,0.7,"Technology, Information and Media",international_hub,experts,2.0,"Technology, Information and Media","Technology, Information and Media",16,,"English, Swedish, Korean, German","Lisbon, Lisbon, Portugal",,,"A Swedish experienced product management professional living in Lisbon Portugal, used to working and leading cross boarder teams. Have the ability to be the link between business and IT with my experience within the field of IT development, traditional ERP systems and blockchain, projects and process optimization. Application experiences include but is not limited to WEB3/Blockchain, ERP, CRM, Web/CMS, Access, Salesforce, Adobe Experience Cloud, Google analytics. In one sentence I would say that I am a risk aware creative person with analytical skills and a strong belief in keeping it simple.","internal controls, risk management, data analysis, business process improvement, process improvement, operational risk, microsoft office, swedish, english, korean, microsoft word, ms excel macro, ms access, vba, microsoft excel",,1
65,Entry,0.4,0.1,Media Production,other,workers,2.0,,,undefined,,"Serbian, English, Bulgarian, Macedonian","Sofia City, Sofia-City, Bulgaria",,,https://mihajlokocev.com/ https://vimeo.com/user7752146 https://m.imdb.com/name/nm5176208/,"camera operation, media production, production managment, casting, comedy, web video, drama, reality, video editing, videography, video, final cut pro, hd video, final draft, corporate videos, camera operating, film editing, video production, voice over, producing, digital video, post production, directing, pre-production, documentaries, cinematography, commercials, independent film, film production, screenwriting, short films, music videos, feature films, television, camera, film",Film Director,1
60,Mid,0.55,0.2,Healthcare,other,experts,0.0,,,undefined,,"Spanish, English",United States,,,"Interested in Management Consulting, Quality Assurance, Medical Devices, Social Justice and Biotechnology",,Resident Physician,0
75,Executive,0.8,0.75,Professional Services,international_hub,experts,1.0,Professional Services,Professional Services,22,,"French, English, German, Dutch, Italian","Brussels, Brussels-Capital, Brussels-Capital, Belgium",,,Passionate about the microbial world and active in the field of bio-inspiration and…,,CSO & Co-founder,0
55,Senior,0.5,0.6,Software Development,international_hub,leaders,1.0,,Software Development,undefined,Partnership,"Français, Anglais, Espagnol, Portugais",United Kingdom,"Paris, FR",2013.0,"Aerospace and SoftwareWhether it's in Californian aerospace or European software, I",,,1
80,Entry,0.85,0.1,Professional Services,other,experts,0.0,Professional Services,Professional Services,44,,,United States,,,"I am currently working as a Postdoctoral Researcher in the Biochemistry department at the University of Cambridge. I am heading a project looking at the mechanisms by which microorganisms biodegrade and assimilate recalcitrant plastics, such as polyethylene. My expertise is in bacterial isolation, characterisation and engineering, as well a suit of wetlab and bioinformatic techniques. I completed my PhD in Pamela Silver's lab at Harvard Medical School. My project centered around biological containment of engineered microorganisms, preventing their physical and genetic translocation through kill switches and genome recoding. I completed a BSc in Biochemistry at University College London, graduating with a First class degree. I then moved to the algal biotech company Algenuity, where I worked as a research assistant for 6 months. At the time they aimed to provide tools to support the algal synthetic biology industry.",,Synthetic Microbiologist,1
90,Executive,0.9,0.85,Government Administration,regional_hub,experts,1.0,Government Administration,Government Administration,40141,,"English, French, Spanish, Irish, German","Como, Lombardy, Italy",,,"[posting here in personal capacity - views expressed do not necessarily reflect those of my employer] Policy leader and intrapreneur working at the intersection of technology, law, and public policy. Expert on European and international governance and regulation of artificial intelligence and data, with over a decade of experience in shaping global policy discussions and documents on these topics within international organisations, national government and civil society (EU Commission, Council of Europe, United Nations, World Economic Forum, Irish Government, Amnesty Tech). Currently working at the European Commission DG Joint Research Centre on issues relating to data governance, data spaces, data sharing ecosystems and infrastructures, as well as artificial intelligence and digital transformation of the public sector. Prior to this role, I led development of Ireland's first National Strategy for AI and served as Head of Ireland's Delegation to the Council of Europe Ad-Hoc Committee on AI. Skills: strategy ♦ advocacy, campaigns ♦external representation ♦ policy research, development and analysis ♦ speechwriting and communications ♦ project and event management ♦ stakeholder engagement &amp; coalitions♦ diplomacy and negotiation ♦ partnership development ♦ storytelling and listening for change. I am excited by the potential to effect positive change through participatory politics and the democratisation of technology - let's use our collective intelligence to create a code that cares! I am committed to connecting communities of interest and purpose to catalyse impact. I want to do meaningful things that matter for our common humanity. How can we create a human chain, expand the space for an ethical imagination and bring people together in circles of shared solidarity? I am: Proactive; Positive; Passionate; Possibilitarian; Principled; Pragmatic; Poetic; a Piper and a Pattern-person. Curious, creative, dot.connector. I believe in encouraging potential: 'mol an óige agus tiochaidh sé' (praise the young and it will come). And I aspire to be a tri-sectoral triathlete with a 5G mindset (global, good, graceful, gritty, grateful)!",,"Scientific expert, Digital Economy Unit, Joint Research Centre",0
85,Senior,0.8,0.75,Professional Services,regional_hub,experts,1.0,Professional Services,Professional Services,29,,"Dutch, English, French, Spanish, German","Lausanne, District de Lausanne, Vaud, Switzerland",,,"Multilingual business lawyer, trusted and relied on by internal and external business partners at all organizational levels for my pragmatic legal advice and results. Proven experience in leading international legal teams, fostering a results-driven culture, enabling business acceleration and scalability. With an extensive experience in fast-paced technology environments, I take risk-based decisions leveraging my deep expertise in commercial law, data protection, AI, intellectual property, distribution and competition law.","legal advice, public policy, international law, professional services contracts, cloud contracts, contract drafting, copyright law, telecommunications, media law, distribution, international commercial law, contract negotiation, analytic problem solving, intellectual property, legal writing, fast learner, eu competition law, privacy law, competition law",Co-Head Switzerland,1
75,Senior,0.7,0.8,Manufacturing,regional_hub,leaders,1.0,Manufacturing,Manufacturing,77173,,"Japanese, Spanish, French, English","Gothenburg, Västra Götaland County, Sweden",,,I am a data science and product strategy leader with extensive experience building and…,,Senior Digital Product Manager- Ai & Automation,1
70,Executive,0.65,0.9,Consumer Services,regional_hub,leaders,2.0,Consumer Services,Consumer Services,6,,,"Munich, Bavaria, Germany",,,"Co-Founder and CEO of the online-gallery Caldo Worldwide working at the intersection of Art, Games Technology and Design. Passionate entrepreneur with a keen interest in #AI and #Gaming and other applied technologies, complemented by strong entrepreneurial mindset. #Entrepreneur #Founder #Gaming #SeriousGames #AI #Technologies #Art #Society caldo-worldwide.com",,"Resident, Cohort 2025",0
80,Mid,0.6,0.5,Professional Services,international_hub,workers,1.0,Professional Services,Professional Services,115,,"Français, Anglais","City of London, England, United Kingdom",,,"I’m a digital designer who likes analysing problems and solving them. I have always seen design as an exciting challenge to solve the web’s usability, where beautiful aesthetics and functionality exist in harmony. I design interfaces to be used and give high attention to detail. I love geometry, architecture and generative art. I'm intrigued by the design process and how to continually enhance it. I was also a proud member of the Awwwards Jury panel for the 2016/2017 season.",,Design Lead,0
85,Executive,0.75,0.7,Education,other,experts,0.0,Education,Education,6,,,"São Paulo, Região Metropolitana de São Paulo, São Paulo, Brazil",,,"With a tenure spanning over two decades, my role as Conselheiro Substituto at Tribunal de Contas de Pernambuco has centered around ensuring stringent regulatory compliance and providing astute legal advice within the public sector. My commitment to fostering transparency and accountability has been unwavering, as I've scrutinized the efficiency of public policies and projects, particularly in infrastructure and technology. As an academic contributor to institutions like Harvard and MIT, my endeavors extend to nurturing thought leadership in law, economics, and innovation. At the heart of my professional journey lies a mission to enhance public administration, underscored by a dedication to instill a culture of excellence and progressive change in governance practices.",,professor ufpe,0
75,Senior,0.5,0.6,Professional Services,other,others,1.0,Professional Services,Professional Services,169,,"English, Spanish, Chinese","Comas, Lima Metropolitan Area, Lima, Peru",,,"Azure (pronounced ""As-Your"") is a visionary leader, researcher, operator, and creative technologist, passionate about blending sustainability and innovation to co-create solutions in emerging technology, natural adaptation, and conscious consumption.

Holding a BA in Biology from Pepperdine University, Azure has worked with distinguished organizations such as the W. M. Keck Foundation, World Economic Forum, On Deck, Digital Undivided, and Black Girl Ventures. With a diverse, global perspective, they explore the intersection of nature, technology, and empathetic design to promote ethical and inclusive reform.

Guided by values of Integrity, Originality, and Servant Leadership, Azure is dedicated to empowering and investing in visionary ideas that reflect these core principles.",,10th House | Tech Cohort Member,0
70,Entry,0.55,0.2,Arts,international_hub,others,0.0,,,undefined,,,"City of London, England, United Kingdom",,,"I work within public art and take an expanded definition that involves spatial installation, printmaking and sculpture. I was recipient of the UAL Scholarship 2021 / 2023 for the MA Fine Art: Digital at Central St Martins. In this context I researched the presence of pesticides in the public space, particularly the impact of neonicotinoids on the cognitive system of wild pollinators. My works have been exhibited in festivals and museums such as La Biennale di Venezia (2011), Documenta 13 (2012), Manifesta 11, MASP in Sao Paulo, Fundacao Gulbenkian in Lisbon and the Today Art Museum, Beijing.",,,1
65,Mid,0.4,0.65,"Technology, Information and Media",other,salespeople,1.0,"Technology, Information and Media","Technology, Information and Media",6,,,"Lozenets, Sofia-City, Bulgaria",,,"Native to multicultural environments, I act as a liaison between marketing, sales, and production teams and believe in lifelong learning, which brings me joy and purpose. Events are my sweet spot - a natural tool for communication, connecting brands, people, and ideas.",,Co-Founder,1
85,Senior,0.65,0.75,Information Technology,other,experts,0.0,,,undefined,,,"São Paulo, Brazil",,,,"requirements analysis, hardware, windows server, business intelligence, shell scripting, it operations, cloud computing, hp, tcp/ip, server architecture, linux, virtualisation, solaris, storage area networks, microsoft technologies, citrix, dns, san, cisco technologies, pmp, iis, network architecture, active directory, hp-ux, red hat linux, architectures, outsourcing, integration, it service management, security, it strategy, operating systems, servers, solution architecture, it outsourcing, infrastructure, technical support, business continuity, vmware infrastructure, incident management, vmware esx, service management, cluster, architecture, vmware, disaster recovery, itil, data center, consolidation, virtualization",Consultant | Architecture and Technology Services,1
75,Mid,0.55,0.1,Media & Entertainment,other,others,2.0,"Technology, Information and Media","Technology, Information and Media",1,,,"Basel, Basel-City, Switzerland",,,"Brigitte Fässler is a visual artist, filmmaker and photographer. She creates poetic, experimental visual worlds that blend the real and the imaginary. Working at the intersection of concept, direction, and camera, her practice explores perception, identity, and the interplay between analog and digital media. From dance films and music videos to audiovisual performances and installations, she combines artistic vision with hands-on execution. Her works have been shown and awarded at national and international festivals. Brigitte Fässler is based in Zurich and works across artistic and commercial contexts – always with a distinct visual language rooted in artistic exploration. For bookings, collaborations or just to say hello, feel free to contact me!",,Gründer,1
70,Executive,0.6,0.7,Media & Entertainment,other,leaders,2.0,"Technology, Information and Media","Technology, Information and Media",14,,"Anglais, Espagnol","Baie-Mahault, Guadeloupe, France",,,"INWIN et SOWINK Antilles-Guyane accompagnent les entreprises dans la mise en place de stratégies digitales 360. Nous sommes les architectes de votre transformation numérique. Nous intervenons de la phase d’audit à la réalisation du projet dans l’ensemble des métiers du digital : Création de site Internet vitrine et e-commerce, communication sur les réseaux sociaux, publicité en ligne, référencement naturel, formations, cyber-sécurité, applications web et mobile, UX-UI, logiciels de gestion, e-reputation et relation client. Notre accompagnement tout au long du projet vous assure une prise en main sereine des solutions mises en place dans votre entreprise pour gagner en visibilité et en productivité. Bénéficiez de l’expertise d’un groupe français, d’une agence de proximité située en Guadeloupe et d’une équipe d'experts qui vous est dédiée avec une approche résultats.",,"Directeur d'Agence, Antilles-Guyane",1
40,Entry,0.4,0.2,Information Technology,international_hub,workers,1.0,"Technology, Information and Media","Technology, Information and Media",118,,"English, Spanish","San Francisco, California, United States",,,building the web,,Senior Software Engineer,1
50,Mid,0.5,0.6,Information Technology,international_hub,others,0.0,,,undefined,,,"Los Angeles County, California, United States",,,,,,0
65,Mid,0.7,0.3,Media & Entertainment,other,workers,1.0,,,undefined,,"Spanish, English, German","San Juan de Lurigancho, Lima Metropolitan Area, Lima, Peru",,,"I make sure we enjoy the ride. Postproduction with creativity, passion and care.","social media marketing, spanish, marketing communications, blogging, comunicaciones de marketing, publicidad en internet, publicidad, inglés, mercadotecnia en medios sociales, estrategia de mercadotecnia, illustrator, relaciones públicas, redes sociales, photoshop, microsoft office, mercadotecnia",Freelance Post Producer | Creative Audio Producer,0
80,Mid,0.75,0.65,Consumer Services,regional_hub,workers,2.0,Consumer Services,Consumer Services,20490,,"Français, Espagnol, Anglais, Portugais","Geneva, Geneva, Switzerland",,,"I translate companies' and users' challenges into web and mobile technical solutions. Thanks to my experience as a front-end developer (5 years) and as a tech startup entrepreneur (2 years), I am able to intervene upon all phases of a product, within agile teams. I apply my skills to mission-driven companies and ethical initiatives.",,Investor,1
55,Mid,0.8,0.8,Entertainment,regional_hub,salespeople,2.0,,Entertainment Providers,11-50,Privately Held,,United Kingdom,"Los Angeles, US",2015.0,,,,0
